SITE2021,Site2021_2,Occupancy,HighestSig,LastSurvey,Site2021NA,SITE2021_3,Site2021_1,Occupancy2021,HighestS_1,LastSurv_1,Site2021_4,Shape_Leng,Shape_Area,TalID,ShapeInd,JulyMax,JanMin,PrcpAnn,PrcpSeas,AET,PET,CWD,HeatLoad,Elev,Slope,Rugged,TPI990m,PTalus
152,152,UNOCCUPIED,PU,2015,Site2021_152,152,152,UNOCCUPIED,PU,2015,Site2021_152,30,50,144150,1.060660172,26.27000046,-7.28000021,302.4119873,0.402898014,309.4570007,520.2789917,210.8220062,1.009629965,1932,18.1583004,0.000125051,9.049559593,0.0176511
206,206,UNOCCUPIED,OH,2015,Site2021_206,206,206,UNOCCUPIED,OH,2015,Site2021_206,30,50,174228,1.060660172,27.19000053,-7.050000191,283.0700073,0.390781999,322.2330017,461.2449951,138.996994,0.856079996,1855,14.12950039,9.63211E-05,1.014649987,0.00848463
276,276,UNOCCUPIED,OS,2021,Site2021_276,276,276,UNOCCUPIED,OS,2021,Site2021_276,30,50,53142,1.060660172,26.60000038,-7.21999979,401.5150146,0.481460989,314.8469849,480.2449951,156.7779999,0.93293798,1996,14.05500031,2.28882E-05,10.01749992,0.0175753
339,339,UNOCCUPIED,OH,2021,Site2021_339,339,339,UNOCCUPIED,OH,2021,Site2021_339,30,50,116014,1.060660172,26.77000046,-7.820000172,334.493988,0.414638013,277.848999,483.4219971,164.6679993,0.909420013,1939,18.99340057,7.08699E-05,-8.673100472,0.00558067
418,418,UNOCCUPIED,PU,2015,Site2021_418,418,418,UNOCCUPIED,PU,2015,Site2021_418,30,50,200902,1.060660172,25.86000061,-7.619999886,345.946991,0.407061994,296.5820007,479.9330139,183.3509979,0.92117101,2108,15.50339985,0.000712395,73.16529846,0.0047221
172,172,UNOCCUPIED,OH,2019,Site2021_172,172,172,UNOCCUPIED,OH,2019,Site2021_172,40,75,169987,1.154700538,26.52000046,-6.840000153,295.7780151,0.393119991,337.2909851,501.0350037,163.7440033,0.959599018,1958,11.19929981,0.000181735,7.0927701,0.0173733
322,322,UNOCCUPIED,OH,2019,Site2021_322,322,322,UNOCCUPIED,OH,2019,Site2021_322,40,75,131200,1.154700538,25.82999992,-7.800000191,331.2529907,0.40949899,246.8990021,463.256012,217.2389984,0.901521981,2045,12.64669991,0.000127256,12.53439999,0.00840888
582,582,UNOCCUPIED,OS,2018,Site2021_582,582,582,UNOCCUPIED,OS,2018,Site2021_582,40,75,279674,1.154700538,26.31999969,-6.900000095,272.1390076,0.381327987,246.9609985,486.2160034,239.2539978,0.94897598,1885,8.485239983,0.000031352,-18.63089943,0.0607055
785,785,UNOCCUPIED,PU,2015,Site2021_785,785,785,UNOCCUPIED,PU,2015,Site2021_785,40,75,254115,1.154700538,27.27000046,-6.510000229,271.9119873,0.421050012,276.2210083,516.1119995,239.8910065,0.95282203,1840,8.28042984,6.38962E-05,-0.416869998,0.0157824
411,411,OCCUPIED,FS,2018,Site2021_411,411,411,OCCUPIED,FS,2018,Site2021_411,50,100,131339,1.25,25.92000008,-7.769999981,333.5499878,0.408859015,250.0700073,488.0369873,237.9669952,0.949746013,2016,11.24279976,0.000332415,22.25810051,0.00906543
